 The Shawshank Redemption (1994)
 Good Will Hunting (1997)
 The Hunt (2012)
 Snatch (2000)
 Monty Python and the Holy Grail (1975)
 Scarface (1983)
 For a Few Dollars More (1965)
 The Apartment (1960)
 L.A. Confidential (1997)
 Metropolis (1927)
 A Separation (2011)
 Indiana Jones and the Last Crusade (1989)
 Rashomon (1950)
 Up (2009)
 All About Eve (1950)
 Yojimbo (1961)
 Batman Begins (2005)
 Some Like It Hot (1959)
 Unforgiven (1992)
 Downfall (2004)
 The Treasure of the Sierra Madre (1948)
 Die Hard (1988)
 Heat (1995)
 Ikiru (1952)
 Raging Bull (1980)
 Incendies (2010)
 The Great Escape (1963)
 My Father and My Son (2005)
 Children of Heaven (1997)
 Pan's Labyrinth (2006)
 Chinatown (1974)
 The Third Man (1949)
 Bohemian Rhapsody (2018)
 My Neighbor Totoro (1988)
 Ran (1985)
 Howl's Moving Castle (2004)
 Judgment at Nuremberg (1961)
 The Gold Rush (1925)
 The Secret in Their Eyes (2009)
 The Bridge on the River Kwai (1957)
" Three Billboards Outside Ebbing, Missouri (2017)"
 A Beautiful Mind (2001)
" Lock, Stock and Two Smoking Barrels (1998)"
 On the Waterfront (1954)
 Casino (1995)
 The Seventh Seal (1957)
 Inside Out (2015)
 The Elephant Man (1980)
 Room (2015)
 Mr.Smith Goes to Washington (1939)
 The Wolf of Wall Street (2013)
 V for Vendetta (2005)
 Warrior (2011)
 Blade Runner (1982)
 The General (1926)
 Wild Strawberries (1957)
 Dial M for Murder (1954)
 Trainspotting (1996)
 No Country for Old Men (2007)
 There Will Be Blood (2007)
 The Sixth Sense (1999)
 Gone with the Wind (1939)
 The Thing (1982)
 Fargo (1996)
 Gran Torino (2008)
 The Deer Hunter (1978)
 Finding Nemo (2003)
 Come and See (1985)
 Sherlock Jr. (1924)
 The Big Lebowski (1998)
 Kill Bill: Vol. 1 (2003)
 Shutter Island (2010)
 Cool Hand Luke (1967)
 Rebecca (1940)
 Tokyo Story (1953)
 Mary and Max (2009)
 Hacksaw Ridge (2016)
 Sunrise (1927)
 How to Train Your Dragon (2010)
 Gone Girl (2014)
 Wild Tales (2014)
 Jurassic Park (1993)
 Into the Wild (2007)
 A Star Is Born (2018)
 The Bandit (1996)
 Life of Brian (1979)
 It Happened One Night (1934)
 In the Name of the Father (1993)
 Platoon (1986)
 The Grand Budapest Hotel (2014)
 Stand by Me (1986)
 The Truman Show (1998)
 Network (1976)
 Stalker (1979)
 Hotel Rwanda (2004)
 Ben-Hur (1959)
 Persona (1966)
 Memories of Murder (2003)
 12 Years a Slave (2013)
 Andrei Rublev (1966)
 The Wages of Fear (1953)
 Million Dollar Baby (2004)
 The Passion of Joan of Arc (1928)
 Rang De Basanti (2006)
 Rush (2013)
 Mad Max: Fury Road (2015)
 Before Sunrise (1995)
 The 400 Blows (1959)
 Spotlight (2015)
 Prisoners (2013)
 Hachi: A Dog's Tale (2009)
 Logan (2017)
 Amores Perros (2000)
 The Princess Bride (1987)
 Nausicaä of the Valley of the Wind (1984)
 Catch Me If You Can (2002)
 Butch Cassidy and the Sundance Kid (1969)
 Harry Potter and the Deathly Hallows: Part 2 (2011)
 Rocky (1976)
 Barry Lyndon (1975)
" Monsters, Inc. (2001)"
 The Grapes of Wrath (1940)
 The Maltese Falcon (1941)
 Donnie Darko (2001)
 Diabolique (1955)
 The Terminator (1984)
 Dead Poets Society (1989)
 Gandhi (1982)
 Sanjuro (1962)
 La Haine (1995)
 Groundhog Day (1993)
 The Nights of Cabiria (1957)
 The Wizard of Oz (1939)
 Blade Runner 2049 (2017)
 La La Land (2016)
 Jaws (1975)
 The Help (2011)
 In the Mood for Love (2000)
 Paper Moon (1973)
 Gangs of Wasseypur (2012)
 Tangerines (2013)
 Before Sunset (2004)
" Paris, Texas (1984)"
 The Handmaiden (2016)
 Guardians of the Galaxy (2014)
 The Bourne Ultimatum (2007)
 The Best Years of Our Lives (1946)
 PK (2014)
 Pirates of the Caribbean: The Curse of the Black Pearl (2003)
 Castle in the Sky (1986)
 Lagaan: Once Upon a Time in India (2001)
